isin|currency|exchange_code|country|name|sector|price|business_date|status
US0378331005|USD|NYSE|US|Apple Inc|Tech|185.50|2024-12-15|active
US5949181045|USD|NYSE|US|Microsoft Corp|Tech|375.25|2024-12-15|active
US02079K3059|USD|NYSE|US|Alphabet Inc A|Tech|140.80|2024-12-15|active
GB00B03MLX29|GBP|XLON|GB|Shell PLC|Energy|2650.00|2024-12-14|active
GB00BH4HKS39|GBP|XLON|GB|Vodafone Group|Telecom|72.50|2024-12-15|delayed
JP3633400001|JPY|TSE|JP|Toyota Motor Corp|Automotive|2850.00|2024-12-15|active
JP3435000009|JPY|TSE|JP|Sony Group Corp|Tech|12500.00|2024-12-15|active
JP3778600004|JPY|TSE|JP|Panasonic Holdings|Tech|1580.00|2024-12-15|active
JP3866800000|JPY|TSE|JP|Seven & I Holdings|Retail|1920.00|2024-12-15|active
JP3496400007|JPY|TSE|JP|KDDI Corp|Telecom|4250.00|2024-12-15|active
HK0000004322|HKD|XHK|HK|Tencent Holdings|Tech|320.00|2024-12-15|active
HK0000069689|HKD|XHK|HK|Alibaba Health Info|Tech|4.85|2024-12-15|active
HK0000039689|HKD|XHK|HK|China Merchants Bank|Banking|8.50|2024-12-15|active
HK0000083169|HKD|XHK|HK|Geely Automobile|Automotive|12.80|2024-12-15|active
HK0000093988|HKD|XHK|HK|Industrial Bank Co|Banking|6.20|2024-12-15|delayed
JP3902900004|JPY|TSE|JP|Mitsubishi UFJ Financial|Banking|1250.00|2024-12-15|active
JP3388200002|JPY|TSE|JP|SoftBank Corp|Telecom|1850.00|2024-12-15|active
JP3205800000|JPY|TSE|JP|Kao Corp|Other|1250.00|2024-12-14|active
JP3143600009|JPY|TSE|JP|Asahi Group Holdings|Other|2800.00|2024-12-15|active
JP3571400005|JPY|TSE|JP|Tokyo Electron|Other|18500.00|2024-12-15|active
HK0000103810|HKD|XHK|HK|Lenovo Group|Other|8.92|2024-12-15|active
HK0000123456|HKD|XHK|HK|China Life Insurance|Other|15.20|2024-12-15|active
HK0000654321|HKD|XHK|HK|China Construction Bank|Banking|5.80|2024-12-15|active
HK0000789012|HKD|XHK|HK|Ping An Insurance|Other|42.50|2024-12-15|delayed
HK0000234567|HKD|XHK|HK|BOC Hong Kong|Other|28.30|2024-12-15|active
BRBBDCACNPR8|BRL|LATAM|BR|Bradesco SA|Other|25.80|2024-12-15|active
BRBBASACNOR3|BRL|LATAM|BR|Banco do Brasil|Other|32.50|2024-12-15|active
BRWEGEACNOR0|BRL|LATAM|BR|Weg SA|Other|45.20|2024-12-15|active
BRRENTACNOR4|BRL|LATAM|BR|Localiza Rent a Car|Other|38.90|2024-12-15|active
MXP320321310|MXN|LATAM|MX|Grupo Bimbo|Other|62.50|2024-12-15|active
MXP225611567|MXN|LATAM|MX|Cemex SAB|Other|18.20|2024-12-15|active
MXP4987W100|MXN|LATAM|MX|Grupo Mexico|Other|95.80|2024-12-15|active
JP3672400003|JPY|TSE|JP|Nintendo Co Ltd|Other|6850.00|2024-12-15|active
JP3164720009|JPY|TSE|JP|ORIX Corp|Other|1850.00|2024-12-15|active
JP3659000008|JPY|TSE|JP|West Japan Railway|Other|3200.00|2024-12-15|active
HK0000333333|HKD|XHK|HK|Xiaomi Corp|Other|18.50|2024-12-15|active
HK0000444444|HKD|XHK|HK|Meituan|Other|98.20|2024-12-15|delayed
HK0000555555|HKD|XHK|HK|JD.com Inc|Other|25.80|2024-12-15|active
US0231351067|USD|NYSE|US|Amazon.com Inc|Other|175.50|2024-12-15|active
US30303M1027|USD|NYSE|US|Meta Platforms|Other|510.25|2024-12-14|active
GB00B10RZP78|GBP|XLON|GB|Unilever PLC|Other|4250.00|2024-12-14|active
GB00B24CGK77|GBP|XLON|GB|Reckitt Benckiser|Other|5800.00|2024-12-15|delayed
JP3407400005|JPY|TSE|JP|Sumitomo Corp|Other|2450.00|2024-12-15|active
JP3890350006|JPY|TSE|JP|Mitsui & Co|Other|1920.00|2024-12-15|active
HK0000666666|HKD|XHK|HK|Sun Hung Kai Props|Other|78.50|2024-12-15|active
HK0000777777|HKD|XHK|HK|CK Hutchison|Other|52.30|2024-12-15|active
BRGGBRACNPR8|BRL|LATAM|BR|Gerdau SA|Other|22.40|2024-12-15|active
BRSUZB3ACNOR5|BRL|LATAM|BR|Suzano SA|Other|48.60|2024-12-15|active
MXP369181377|MXN|LATAM|MX|FEMSA|Other|125.80|2024-12-15|active
CLP1234567890|CLP|LATAM|CL|SQM SA|Other|52.30|2024-12-15|active
ARYPF470281|ARS|LATAM|AR|YPF SA|Other|28.50|2024-12-15|delayed
DE000BAY0017|EUR|XETRA|DE|Bayer AG|Other|28.50|2024-12-15|active
