isin,xchg,currency,country,name,pricedate
US0378331005,NYSE,USD,US,Apple Inc,20250401
US5949181045,NYSE,USD,US,Microsoft Corp,20250401
US02079K3059,NYSE,USD,US,Alphabet Inc A,20250401
GB00B03MLX29,XLON,GBP,GB,Shell PLC,20250401
GB00BH4HKS39,XLON,GBP,GB,Vodafone Group,20250401
JP3633400001,TSE,JPY,JP,Toyota Motor Corp,20250401
JP3435000009,TSE,JPY,JP,Sony Group Corp,20250401
JP3778600004,TSE,JPY,JP,Panasonic Holdings,20250401
JP3866800000,TSE,JPY,JP,Seven & I Holdings,20250401
JP3496400007,TSE,JPY,JP,KDDI Corp,20250401
HK0000004322,XHK,HKD,HK,Tencent Holdings,20250401
HK0000069689,XHK,HKD,HK,Alibaba Health Info,20250401
HK0000039689,XHK,HKD,HK,China Merchants Bank,20250401
HK0000083169,XHK,HKD,HK,Geely Automobile,20250401
HK0000093988,XHK,HKD,HK,Industrial Bank Co,20250401
BRPETRACNPR6,LATAM,BRL,BR,Petrobras PN,20250401
BRVALEACNOR0,LATAM,BRL,BR,VALE SA,20250401
BRITUBACNOR4,LATAM,BRL,BR,Itau Unibanco,20250401
MXP370711014,LATAM,MXN,MX,America Movil,20250401
MXP001661018,LATAM,MXN,MX,Walmart de Mexico,20250401
CLP7847L1080,LATAM,CLP,CL,Enel Chile,20250401
CLP249051066,LATAM,CLP,CL,Banco de Chile,20250401
ARBCOM460L12,LATAM,ARS,AR,Grupo Financiero Galicia,20250401
JP3902900004,TSE,JPY,JP,Mitsubishi UFJ Financial,20250401
JP3388200002,TSE,JPY,JP,SoftBank Corp,20250401
JP3205800000,TSE,JPY,JP,Kao Corp,20250401
JP3143600009,TSE,JPY,JP,Asahi Group Holdings,20250401
JP3571400005,TSE,JPY,JP,Tokyo Electron,20250401
HK0000103810,XHK,HKD,HK,Lenovo Group,20250401
HK0000123456,XHK,HKD,HK,China Life Insurance,20250401
HK0000654321,XHK,HKD,HK,China Construction Bank,20250401
HK0000789012,XHK,HKD,HK,Ping An Insurance,20250401
HK0000234567,XHK,HKD,HK,BOC Hong Kong,20250401
BRBBASACNOR3,LATAM,BRL,BR,Banco do Brasil,20250401
BRWEGEACNOR0,LATAM,BRL,BR,Weg SA,20250401
BRRENTACNOR4,LATAM,BRL,BR,Localiza Rent a Car,20250401
MXP320321310,LATAM,MXN,MX,Grupo Bimbo,20250401
MXP225611567,LATAM,MXN,MX,Cemex SAB,20250401
MXP4987W100,LATAM,MXN,MX,Grupo Mexico,20250401
JP3672400003,TSE,JPY,JP,Nintendo Co Ltd,20250401
JP3164720009,TSE,JPY,JP,ORIX Corp,20250401
JP3659000008,TSE,JPY,JP,West Japan Railway,20250401
HK0000333333,XHK,HKD,HK,Xiaomi Corp,20250401
HK0000444444,XHK,HKD,HK,Meituan,20250401
HK0000555555,XHK,HKD,HK,JD.com Inc,20250401
US0231351067,NYSE,USD,US,Amazon.com Inc,20250401
US30303M1027,NYSE,USD,US,Meta Platforms,20250401
GB00B10RZP78,XLON,GBP,GB,Unilever PLC,20250401
GB00B24CGK77,XLON,GBP,GB,Reckitt Benckiser,20250401
JP3407400005,TSE,JPY,JP,Sumitomo Corp,20250401
JP3890350006,TSE,JPY,JP,Mitsui & Co,20250401
HK0000666666,XHK,HKD,HK,Sun Hung Kai Props,20250401
HK0000777777,XHK,HKD,HK,CK Hutchison,20250401
BRGGBRACNPR8,LATAM,BRL,BR,Gerdau SA,20250401
BRSUZB3ACNOR5,LATAM,BRL,BR,Suzano SA,20250401
MXP369181377,LATAM,MXN,MX,FEMSA,20250401
CLP1234567890,LATAM,CLP,CL,SQM SA,20250401
ARYPF470281,LATAM,ARS,AR,YPF SA,20250401
