NAME,MIC,ISIN,SEDOL,TICKER
SUPER MICRO COMPUTER INC AT NASDAQ GS,XNGS,US86800U3023,BRC3N73,SMCI_UW
SUPER MICRO COMPUTER INC AT XETRA,XETR,US86800U3023,BLFCV82,MS51_GY
TECK RESOURCES LTD-CLS B AT NEW YORK,XNYS,CA8787422044,2124533,TECK.UN
TECK RESOURCES LTD-CLS B AT TORONTO,XTSE, CA8787422044,2879327,TECK/B.CT
TESLA INC AT AUSTRIAVIENNA,XWBO,US88160R1014,BF1SNQ4,TSLA.AV
TESLA INC AT XETRA,XETR,US88160R1014,B3XFVH6,TLO.GY
TESLA MOTORS INC,XNGS,US88160R1014,B616C79,TSLA.UW
TEXAS INSTRUMENTS INC AT AUSTRIAVIENNA,XWBO,US8825081040,BF1SNP3,TXN.AV
TEXAS INSTRUMENTS INC AT NASDAQ GS,XNGS,US8825081040,2885409,TXN.UW
TEXAS INSTRUMENTS INC AT XETRA,XETR,US8825081040,B0K3NK9,TII.GY
TIM SA AT BM FBOVESPA, BVMF,BRTIMSACNOR5,BN71RB6,TIMS3.BS
